ID_PRODUCTO;Concepto;Tipo; Precio 
42737;EPSON COPYFAX 2000;IMPRESI‡N;1658
42754;MOT ASROCK H110M-HDS S1151 S/VGA;INFORMATICA;1237.5
42755;MOT ASROCK A58M-VG3+ AMD FM2+ R2.0;INFORMATICA;1079.32
42756;MOT ECS KAM1-I AM1;INFORMATICA;638.66
42757;MOT ASROCK B150M-HDS S1151 S/VGA;INFORMATICA;1784.42
42758;MOT ASROCK B85M S1150 B85M-PRO4;INFORMATICA;1819.18
42759;MOT ASROCK FM2A88M PRO3+ AMD FM2+;INFORMATICA;1800.48
42760;MOT ASROCK N68-GS4 AM3+ FX R2.0;INFORMATICA;1637.24
42761;MOT MSI A68HM-E33 AMD FM2+ V2;INFORMATICA;1384.46
42762;MOT MSI B150M B150M GAMING PRO S1151;INFORMATICA;2106.06
42763;MOT MSI H110M-GAMING S1151;INFORMATICA;2118.38
42764;MOT MSI H110M-PRO-VH-PLUS S1151;INFORMATICA;1385.78
42765;MOT MSI H110M-PRO-VHL S1151 S/P;INFORMATICA;1938.42
42766;MOT MSI Z270 GAMING M7 S1151;INFORMATICA;7011.62
42767;MOT MSI Z270 Z270-A PRO S1151;INFORMATICA;3485.68
42768;MOT MSI B250M PRO-VH S1151;INFORMATICA;1923.68
42769;MOT SUPERMICRO C7B250-CB-ML S1151;INFORMATICA;3039.08
42770;HD 4TB W.DIGITAL PURPLE SATA3 64MB;INFORMATICA;3597.22
42771;HD 2TB SEAGATE 5400 SATA 7MM NOTEBOOK;INFORMATICA;2554.2
42772;HD 6TB W.DIGITAL PURPLE SATA3 64MB;INFORMATICA;6569.86
42773;HD 8TB W.DIGITAL PURPLE SATA 128MB;INFORMATICA;8703.64
42774;HD SSD 512GB INTEL SATA3 2.5;INFORMATICA;6048.9
42775;HD SSD 256GB INTEL SATA3 2.5 M.2;INFORMATICA;3206.06
42776;HD SSD 120GB SANDISK SATA 2.5;INFORMATICA;1423.4
42777;HD 2TB SEAGATE 5400 SATA 7MM NOTEBOOK 128MB;INFORMATICA;2557.5
42778;HD 3TB W.DIGITAL SATA3 5400 64MB;INFORMATICA;2807.64
42779;GAB QNAP TS-431 NAS;INFORMATICA;9555.04
42780;HD 5TB SEAGATE EXT USB 3.0 BLACK BACKUP PLUS;INFORMATICA;4028.86
42781;HD 2TB SEAGATE EXT USB 3.0 BLACK BACKUP PLUS;INFORMATICA;2098.8
42782;HD 4TB SEAGATE EXT USB 3.0 BLACK BACKUP PLUS;INFORMATICA;3373.92
42783;HD 2TB SEAGATE EXT USB 3.0 SILVER BACKUP PLUS;INFORMATICA;2452.34
42784;HD 1TB SEAGATE EXT USB 3.0 SILVER BACKUP PLUS;INFORMATICA;1748.78
42785;HD 1TB EXT W.DIGITAL USB 3.0 ELEMENTS;INFORMATICA;1597.42
42786;MEM USB 64GB KINGSTON DATA 3.1;INFORMATICA;795.74
42787;MEM DDR4 4GB 2133MHZ MUSHKIN PC;INFORMATICA;1366.42
42788;MEM USB 32GB KINGSTON 3.0;INFORMATICA;421.96
42789;MEM USB 16GB KINGSTON DATA 3.1;INFORMATICA;218.02
42790;MEM USB 64GB KINGSTON DATA 3.1;INFORMATICA;762.96
42791;MEM SD MICRO 16GB KINGSTON CLASE 10 45MB;INFORMATICA;258.28
42792;MEM SD MICRO 32GB KINGSTON CLASE 10 45MB;INFORMATICA;479.82
42793;MEM SD MICRO 64GB KINGSTON CLASE 10 45MB;INFORMATICA;871.86
42794;MEM SD MICRO 16GB SONY CLASE 10;INFORMATICA;305.36
42795;MEM SD MICRO 32GB SONY CLASE 10;INFORMATICA;543.18
42796;MEM SD MICRO 32GB SANDISK CLASE 10;INFORMATICA;457.82
42797;MEM DDR4 16GB 2400MHZ MUSHKIN BLACKLINE;INFORMATICA;4845.5
42798;MEM DDR3 8GB 1600MHZ MUSHKIN ESSENTIALS PC;INFORMATICA;1556.28
42799;MEM DDR3 8GB 1600MHZ MUSHKIN ESSENTIALS NOTEBOOK;INFORMATICA;1536.04
42800;MEM DDR3 8GB 1600MHZ MUSHKIN SILVERLINE;INFORMATICA;1642.74
42801;MEM DDR4 8GB 2400MHZ MUSHKIN BLACKLINE;INFORMATICA;2802.8
42802;Producto1;;0
42803;Producto2;;244444442
42804;Producto3;;244444442
42805;Producto4;;244444442
42806;Producto5;;0
42807;Producto6;;0
42808;Producto7;;244444442
42809;Producto8;;0
42810;CD DVDRW 12X LG BLURAY SATA;GRABACION;1282.82
42811;CD DVDRW 8X PIONEER BLURAY SATA USB BLACK;GRABACION;2559.92
42812;CD DVD+-RW 24X LG SATA BLACK;GRABACION;376.64
42813;CD DVD+-RW 24X SAMSUNG SATA BLACK;GRABACION;377.96
42814;CD DVD+-RW 24X SAMSUNG SATA BLACK;GRABACION;369.82
42815;CD DVD+-RW8X LITE-ON EXT;GRABACION;599.5
42816;GAB RIO TORO GAMING CR480;GABINETES;1254.88
42817;GAB SENTEY G18-1356-SF+FUENTE BXP500-LS;GABINETES;813.12
42818;GAB RIO TORO COMPACTO CR1080;GABINETES;1907.62
42819;GAB ATX GAME PRO KIT 600 K05B;GABINETES;860.42
42820;GAB GAME PRO G7 S/FUENTE;GABINETES;652.74
42821;GAB GAME PRO G1 S/FUENTE;GABINETES;653.62
42822;GAB ATX GAME PRO KIT 600 Q1B;GABINETES;816.86
